"infinitive","count","perc"
"ser",8066,11.300400683684
"haber",5461,7.65081677827902
"estar",2746,3.84712376362465
"decir",2734,3.83031186079744
"tener",1774,2.48535963462131
"hacer",1757,2.46154277228278
"ir",1721,2.41110706380117
"poder",1614,2.26120093025862
"ver",1336,1.87172518142845
"dar",1210,1.69520020174283
"saber",843,1.18103617361092
"pasar",730,1.02272408865477
"parecer",682,0.955476477345961
"pensar",596,0.834991173751016
"llegar",587,0.822382246630615
"poner",586,0.820981254728348
"hablar",579,0.81117431141248
"mirar",569,0.797164392389812
"llevar",568,0.795763400487545
"dejar",544,0.762139594833142
"querer",515,0.721510829667405
"quedar",509,0.713104878253804
"volver",486,0.680882064501667
"seguir",465,0.651461234554064
"salir",433,0.606629493681527
"sentir",418,0.585614615147524
"empezar",413,0.57860965563619
"deber",393,0.550589817590854
"encontrar",387,0.542183866177254
"esperar",332,0.465129311552579
"venir",314,0.439911457311777
"contar",307,0.430104513995909
"tratar",293,0.410490627364174
"buscar",293,0.410490627364174
"creer",292,0.409089635461907
"perder",279,0.390876740732439
"conocer",270,0.378267813612037
"tomar",268,0.375465829807504
"llamar",264,0.369861862198436
"entrar",253,0.354450951273502
"andar",251,0.351648967468968
"preguntar",245,0.343243016055367
"sacar",243,0.340441032250834
"abrir",237,0.332035080837233
"acabar",234,0.327832105130432
"vivir",233,0.326431113228166
"dormir",228,0.319426153716832
"entender",196,0.274594412844294
"comprender",194,0.27179242903976
"crear",193,0.270391437137493
"ocurrir",192,0.268990445235227
"comer",192,0.268990445235227
"caer",189,0.264787469528426
"oir",185,0.259183501919359
"recordar",175,0.245173582896691
"subir",174,0.243772590994424
"morir",171,0.239569615287624
"llorar",165,0.231163663874023
"alcanzar",165,0.231163663874023
"leer",157,0.219955728655888
"terminar",156,0.218554736753622
"gustar",154,0.215752752949088
"conseguir",153,0.214351761046821
"levantar",145,0.203143825828687
"tocar",144,0.20174283392642
"explicar",143,0.200341842024153
"escuchar",143,0.200341842024153
"escribir",138,0.193336882512819
"permitir",134,0.187732914903752
"echar",132,0.184930931099218
"pedir",128,0.179326963490151
"recibir",124,0.173722995881084
"cambiar",123,0.172322003978817
"repetir",123,0.172322003978817
"aparecer",122,0.17092101207655
"matar",120,0.168119028272017
"meter",120,0.168119028272017
"servir",118,0.165317044467483
"tirar",118,0.165317044467483
"despertar",116,0.162515060662949
"imaginar",116,0.162515060662949
"sé",116,0.162515060662949
"gritar",114,0.159713076858416
"bajar",114,0.159713076858416
"decidir",110,0.154109109249349
"descubrir",110,0.154109109249349
"lograr",107,0.149906133542548
"faltar",105,0.147104149738015
"olvidar",104,0.145703157835748
"jugar",103,0.144302165933481
"bastar",101,0.141500182128947
"ganar",98,0.137297206422147
"regresar",97,0.13589621451988
"cerrar",97,0.13589621451988
"contestar",95,0.133094230715346
"traer",95,0.133094230715346
"importar",91,0.127490263106279
"quitar",91,0.127490263106279
"correr",87,0.121886295497212
"abandonar",86,0.120485303594945
"mover",86,0.120485303594945
"suponer",84,0.117683319790412
"mostrar",83,0.116282327888145
"guardar",80,0.112079352181344
"cumplir",80,0.112079352181344
"necesitar",80,0.112079352181344
"reconocer",79,0.110678360279078
"existir",77,0.107876376474544
"usar",76,0.106475384572277
"cantar",76,0.106475384572277
"aceptar",75,0.10507439267001
"sospechar",75,0.10507439267001
"beber",74,0.103673400767744
"resultar",73,0.102272408865477
"mantener",73,0.102272408865477
"llenar",73,0.102272408865477
"trabajar",72,0.10087141696321
"colgar",71,0.0994704250609432
"nacer",71,0.0994704250609432
"cruzar",71,0.0994704250609432
"caminar",70,0.0980694331586763
"sonar",70,0.0980694331586763
"desear",70,0.0980694331586763
"acercar",69,0.0966684412564095
"acordar",68,0.0952674493541427
"mandar",68,0.0952674493541427
"oír",67,0.0938664574518759
"escapar",67,0.0938664574518759
"considerar",66,0.0924654655496091
"saltar",66,0.0924654655496091
"costar",66,0.0924654655496091
"sentar",65,0.0910644736473423
"ayudar",65,0.0910644736473423
"aprender",65,0.0910644736473423
"respirar",65,0.0910644736473423
"encender",65,0.0910644736473423
"negar",64,0.0896634817450755
"golpear",63,0.0882624898428087
"detener",63,0.0882624898428087
"había",62,0.0868614979405419
"replicar",60,0.0840595141360083
"temblar",60,0.0840595141360083
"anunciar",60,0.0840595141360083
"insistir",60,0.0840595141360083
"renunciar",60,0.0840595141360083
"volar",60,0.0840595141360083
"fumar",60,0.0840595141360083
"convertir",59,0.0826585222337415
"visitar",59,0.0826585222337415
"comprar",59,0.0826585222337415
"pagar",58,0.0812575303314747
"avanzar",57,0.0798565384292079
"disponer",56,0.0784555465269411
"ordenar",55,0.0770545546246743
"agarrar",55,0.0770545546246743
"armar",55,0.0770545546246743
"permanecer",54,0.0756535627224075
"soñar",54,0.0756535627224075
"ignorar",53,0.0742525708201407
"pegar",53,0.0742525708201407
"resolver",53,0.0742525708201407
"preparar",53,0.0742525708201407
"revelar",52,0.0728515789178738
"iniciar",52,0.0728515789178738
"soltar",51,0.0714505870156071
"admitir",51,0.0714505870156071
"doler",51,0.0714505870156071
"entregar",51,0.0714505870156071
"asomar",50,0.0700495951133402
"entrabar",50,0.0700495951133402
"atacar",50,0.0700495951133402
"partir",49,0.0686486032110734
"romper",49,0.0686486032110734
"interesar",49,0.0686486032110734
"producir",49,0.0686486032110734
"preferir",49,0.0686486032110734
"arrastrar",48,0.0672476113088066
"girar",48,0.0672476113088066
"será",48,0.0672476113088066
"recorrer",47,0.0658466194065398
"resistir",47,0.0658466194065398
"significar",47,0.0658466194065398
"formar",46,0.064445627504273
"ofrecer",46,0.064445627504273
"suceder",46,0.064445627504273
"advertir",46,0.064445627504273
"atravesar",45,0.0630446356020062
"impedir",45,0.0630446356020062
"presentar",44,0.0616436436997394
"demostrar",44,0.0616436436997394
"salar",44,0.0616436436997394
"arreglar",44,0.0616436436997394
"enterar",44,0.0616436436997394
"confundir",43,0.0602426517974726
"indicar",43,0.0602426517974726
"parar",43,0.0602426517974726
"molestar",42,0.0588416598952058
"luchar",42,0.0588416598952058
"saludar",42,0.0588416598952058
"agregar",42,0.0588416598952058
"rechazar",42,0.0588416598952058
"percibir",42,0.0588416598952058
"apoyar",42,0.0588416598952058
"provocar",42,0.0588416598952058
"pretender",42,0.0588416598952058
"ocupar",41,0.057440667992939
"acariciar",41,0.057440667992939
"valer",41,0.057440667992939
"establecer",40,0.0560396760906722
"intentar",40,0.0560396760906722
"durar",40,0.0560396760906722
"soportar",40,0.0560396760906722
"fijar",40,0.0560396760906722
"evitar",40,0.0560396760906722
"continuar",40,0.0560396760906722
"apagar",40,0.0560396760906722
"devolver",39,0.0546386841884054
"sorprender",39,0.0546386841884054
"examinar",39,0.0546386841884054
"procurar",39,0.0546386841884054
"pelear",39,0.0546386841884054
"cubrir",39,0.0546386841884054
"proponer",39,0.0546386841884054
"reir",39,0.0546386841884054
"tardar",38,0.0532376922861386
"prometer",38,0.0532376922861386
"construir",38,0.0532376922861386
"observar",38,0.0532376922861386
"murmurar",38,0.0532376922861386
"encerrar",38,0.0532376922861386
"qué",38,0.0532376922861386
"instalar",37,0.0518367003838718
"sufrir",37,0.0518367003838718
"separar",37,0.0518367003838718
"temer",37,0.0518367003838718
"concebir",36,0.050435708481605
"darle",36,0.050435708481605
"dedicar",36,0.050435708481605
"enseñar",36,0.050435708481605
"dirigir",36,0.050435708481605
"soler",36,0.050435708481605
"podar",36,0.050435708481605
"viajar",36,0.050435708481605
"sobrar",36,0.050435708481605
"resbalar",36,0.050435708481605
"exclamar",35,0.0490347165793382
"oler",35,0.0490347165793382
"preocupar",35,0.0490347165793382
"salvar",35,0.0490347165793382
"mezclar",35,0.0490347165793382
"inventar",34,0.0476337246770714
"aprovechar",34,0.0476337246770714
"señalar",34,0.0476337246770714
"invitar",34,0.0476337246770714
"elegir",34,0.0476337246770714
"probar",34,0.0476337246770714
"rodear",34,0.0476337246770714
"césar",34,0.0476337246770714
"vender",33,0.0462327327748046
"darse",33,0.0462327327748046
"sacudir",33,0.0462327327748046
"compartir",33,0.0462327327748046
"jurar",33,0.0462327327748046
"comenzar",33,0.0462327327748046
"conservar",32,0.0448317408725378
"cortar",32,0.0448317408725378
"arrancar",32,0.0448317408725378
"firmar",32,0.0448317408725378
"habían",32,0.0448317408725378
"apretar",31,0.043430748970271
"acostar",31,0.043430748970271
"comentar",31,0.043430748970271
"sostener",31,0.043430748970271
"callar",31,0.043430748970271
"desaparecer",30,0.0420297570680041
"flotar",30,0.0420297570680041
"recoger",30,0.0420297570680041
"jugando",30,0.0420297570680041
"constar",30,0.0420297570680041
"distinguir",30,0.0420297570680041
"intervenir",30,0.0420297570680041
"referir",30,0.0420297570680041
"brillar",30,0.0420297570680041
"cuidar",29,0.0406287651657373
"sonreir",29,0.0406287651657373
"acompañar",29,0.0406287651657373
"crecer",29,0.0406287651657373
"enterrar",29,0.0406287651657373
"transcurrir",29,0.0406287651657373
"disparar",29,0.0406287651657373
"representar",29,0.0406287651657373
"reír",28,0.0392277732634705
"obtener",28,0.0392277732634705
"vestir",28,0.0392277732634705
"emprender",28,0.0392277732634705
"obligar",28,0.0392277732634705
"descansar",28,0.0392277732634705
"estudiar",28,0.0392277732634705
"asegurar",28,0.0392277732634705
"ceder",27,0.0378267813612037
"hundir",27,0.0378267813612037
"colocar",27,0.0378267813612037
"atrever",27,0.0378267813612037
"vengar",27,0.0378267813612037
"pertenecer",27,0.0378267813612037
"conducir",27,0.0378267813612037
"casar",27,0.0378267813612037
"pintar",27,0.0378267813612037
"afirmar",27,0.0378267813612037
"admirar",27,0.0378267813612037
"retroceder",27,0.0378267813612037
"atardecer",27,0.0378267813612037
"sonreír",27,0.0378267813612037
"tender",27,0.0378267813612037
"jaguar",27,0.0378267813612037
"carecer",26,0.0364257894589369
"adquirir",26,0.0364257894589369
"comprobar",26,0.0364257894589369
"adivinar",26,0.0364257894589369
"prestar",26,0.0364257894589369
"despedir",26,0.0364257894589369
"exigir",26,0.0364257894589369
"dejando",26,0.0364257894589369
"atender",26,0.0364257894589369
"consistir",26,0.0364257894589369
"apuntar",26,0.0364257894589369
"aguantar",26,0.0364257894589369
"mencionar",26,0.0364257894589369
"circular",26,0.0364257894589369
"juntar",26,0.0364257894589369
"confiar",25,0.0350247975566701
"imponer",25,0.0350247975566701
"bailar",25,0.0350247975566701
"anochecer",25,0.0350247975566701
"vigilar",25,0.0350247975566701
"declarar",25,0.0350247975566701
"notar",25,0.0350247975566701
"acomodar",25,0.0350247975566701
"tapar",24,0.0336238056544033
"merecer",24,0.0336238056544033
"interpretar",24,0.0336238056544033
"empujar",24,0.0336238056544033
"vencer",24,0.0336238056544033
"regalar",24,0.0336238056544033
"enfrentar",24,0.0336238056544033
"llover",24,0.0336238056544033
"sugerir",24,0.0336238056544033
"experimentar",23,0.0322228137521365
"descender",23,0.0322228137521365
"haberlo",23,0.0322228137521365
"confirmar",23,0.0322228137521365
"cargar",23,0.0322228137521365
"amar",23,0.0322228137521365
"responder",23,0.0322228137521365
"corresponder",23,0.0322228137521365
"averiguar",23,0.0322228137521365
"aclarar",23,0.0322228137521365
"unir",23,0.0322228137521365
"figurar",23,0.0322228137521365
"poseer",23,0.0322228137521365
"surgir",23,0.0322228137521365
"también",23,0.0322228137521365
"alzar",23,0.0322228137521365
"convencer",22,0.0308218218498697
"suscitar",22,0.0308218218498697
"fusilar",22,0.0308218218498697
"proteger",22,0.0308218218498697
"dibujar",22,0.0308218218498697
"moverse",21,0.0294208299476029
"reunir",21,0.0294208299476029
"cazar",21,0.0294208299476029
"clavar",21,0.0294208299476029
"participar",21,0.0294208299476029
"huir",21,0.0294208299476029
"gozar",21,0.0294208299476029
"identificar",21,0.0294208299476029
"aumentar",21,0.0294208299476029
"constituir",21,0.0294208299476029
"atribuir",21,0.0294208299476029
"contener",21,0.0294208299476029
"componer",20,0.0280198380453361
"interrumpir",20,0.0280198380453361
"reventar",20,0.0280198380453361
"tropezar",20,0.0280198380453361
"amanecer",20,0.0280198380453361
"organizar",20,0.0280198380453361
"destruir",20,0.0280198380453361
"asistir",20,0.0280198380453361
"pasear",20,0.0280198380453361
"suspirar",20,0.0280198380453361
"lanzar",20,0.0280198380453361
"optar",20,0.0280198380453361
"quemar",20,0.0280198380453361
"convenir",20,0.0280198380453361
"discutir",20,0.0280198380453361
"actuar",20,0.0280198380453361
"enderezar",20,0.0280198380453361
"alejar",20,0.0280198380453361
"asombrar",19,0.0266188461430693
"extender",19,0.0266188461430693
"apartar",19,0.0266188461430693
"descifrar",19,0.0266188461430693
"ocultar",19,0.0266188461430693
"sudar",19,0.0266188461430693
"funcionar",19,0.0266188461430693
"recuperar",19,0.0266188461430693
"evocar",19,0.0266188461430693
"desprender",19,0.0266188461430693
"justificar",19,0.0266188461430693
"juzgar",19,0.0266188461430693
"sería",19,0.0266188461430693
"requerir",19,0.0266188461430693
"precipitar",18,0.0252178542408025
"prender",18,0.0252178542408025
"montar",18,0.0252178542408025
"transmitir",18,0.0252178542408025
"retirar",18,0.0252178542408025
"envolver",18,0.0252178542408025
"determinar",18,0.0252178542408025
"estirar",18,0.0252178542408025
"apresurar",18,0.0252178542408025
"incluir",18,0.0252178542408025
"almorzar",18,0.0252178542408025
"alimentar",18,0.0252178542408025
"tejer",18,0.0252178542408025
"invadir",18,0.0252178542408025
"defender",18,0.0252178542408025
"atraer",18,0.0252178542408025
"secar",18,0.0252178542408025
"aguardar",18,0.0252178542408025
"hallar",18,0.0252178542408025
"sujetar",18,0.0252178542408025
"estremecer",17,0.0238168623385357
"confesar",17,0.0238168623385357
"transformar",17,0.0238168623385357
"asustar",17,0.0238168623385357
"atormentar",17,0.0238168623385357
"contemplar",17,0.0238168623385357
"tragar",17,0.0238168623385357
"conversar",17,0.0238168623385357
"concluir",17,0.0238168623385357
"aproximar",17,0.0238168623385357
"suplicar",17,0.0238168623385357
"lavar",17,0.0238168623385357
"coincidir",17,0.0238168623385357
"caber",17,0.0238168623385357
"proclamar",17,0.0238168623385357
"informar",17,0.0238168623385357
"seriar",17,0.0238168623385357
"vislumbrar",17,0.0238168623385357
"deducir",17,0.0238168623385357
"atar",17,0.0238168623385357
"empeñar",16,0.0224158704362689
"fabricar",16,0.0224158704362689
"criar",16,0.0224158704362689
"cesar",16,0.0224158704362689
"perseguir",16,0.0224158704362689
"prolongar",16,0.0224158704362689
"recobrar",16,0.0224158704362689
"comunicar",16,0.0224158704362689
"describir",16,0.0224158704362689
"agradecer",16,0.0224158704362689
"reducir",16,0.0224158704362689
"fingir",16,0.0224158704362689
"traducir",16,0.0224158704362689
"nombrar",16,0.0224158704362689
"cansar",16,0.0224158704362689
"marcar",16,0.0224158704362689
"esparar",16,0.0224158704362689
"distraer",16,0.0224158704362689
"calcular",16,0.0224158704362689
"pescar",16,0.0224158704362689
"retorcer",16,0.0224158704362689
"penetrar",15,0.0210148785340021
"demorar",15,0.0210148785340021
"bañar",15,0.0210148785340021
"curar",15,0.0210148785340021
"manejar",15,0.0210148785340021
"estallar",15,0.0210148785340021
"esconder",15,0.0210148785340021
"elevar",15,0.0210148785340021
"denunciar",15,0.0210148785340021
"proceder",15,0.0210148785340021
"encargar",15,0.0210148785340021
"haberse",15,0.0210148785340021
"limitar",15,0.0210148785340021
"comparar",15,0.0210148785340021
"engañar",15,0.0210148785340021
"enfermar",15,0.0210148785340021
"avisar",15,0.0210148785340021
"insinuar",15,0.0210148785340021
"abundar",15,0.0210148785340021
"internar",15,0.0210148785340021
"arder",15,0.0210148785340021
"plantar",14,0.0196138866317353
"sobrevivir",14,0.0196138866317353
"hervir",14,0.0196138866317353
"inspirar",14,0.0196138866317353
"disimular",14,0.0196138866317353
"espantar",14,0.0196138866317353
"celebrar",14,0.0196138866317353
"iluminar",14,0.0196138866317353
"amarrar",14,0.0196138866317353
"mudar",14,0.0196138866317353
"reaccionar",14,0.0196138866317353
"recurrir",14,0.0196138866317353
"dudar",14,0.0196138866317353
"pesar",14,0.0196138866317353
"eludir",14,0.0196138866317353
"consultar",14,0.0196138866317353
"vendar",14,0.0196138866317353
"asumir",14,0.0196138866317353
"dominar",14,0.0196138866317353
"medir",14,0.0196138866317353
"reclamar",14,0.0196138866317353
"sumar",14,0.0196138866317353
"agachar",14,0.0196138866317353
"abrazar",14,0.0196138866317353
"encantar",14,0.0196138866317353
"traveler",14,0.0196138866317353
"explorar",13,0.0182128947294685
"utilizar",13,0.0182128947294685
"remontar",13,0.0182128947294685
"derribar",13,0.0182128947294685
"doblar",13,0.0182128947294685
"registrar",13,0.0182128947294685
"pronunciar",13,0.0182128947294685
"sucumbir",13,0.0182128947294685
"marchar",13,0.0182128947294685
"pisar",13,0.0182128947294685
"encontrarse",13,0.0182128947294685
"ahogar",13,0.0182128947294685
"explotar",13,0.0182128947294685
"desbordar",13,0.0182128947294685
"concentrar",13,0.0182128947294685
"restaurar",13,0.0182128947294685
"obedecer",13,0.0182128947294685
"apreciar",13,0.0182128947294685
"enviar",13,0.0182128947294685
"vacilar",13,0.0182128947294685
"consolar",13,0.0182128947294685
"amenazar",13,0.0182128947294685
"respetar",13,0.0182128947294685
"vibrar",13,0.0182128947294685
"revisar",13,0.0182128947294685
"aplaudir",13,0.0182128947294685
"aplastar",13,0.0182128947294685
"ejercer",12,0.0168119028272017
"fundar",12,0.0168119028272017
"conformar",12,0.0168119028272017
"sembrar",12,0.0168119028272017
"recitar",12,0.0168119028272017
"violar",12,0.0168119028272017
"besar",12,0.0168119028272017
"alegrar",12,0.0168119028272017
"coser",12,0.0168119028272017
"rendir",12,0.0168119028272017
"acostumbrar",12,0.0168119028272017
"ejecutar",12,0.0168119028272017
"rescatar",12,0.0168119028272017
"burlar",12,0.0168119028272017
"descargar",12,0.0168119028272017
"morder",12,0.0168119028272017
"aplicar",12,0.0168119028272017
"envejecer",12,0.0168119028272017
"fallar",12,0.0168119028272017
"definir",12,0.0168119028272017
"silbar",12,0.0168119028272017
"promover",12,0.0168119028272017
"cobrar",12,0.0168119028272017
"sacrificar",12,0.0168119028272017
"depender",12,0.0168119028272017
"frotar",12,0.0168119028272017
"limpiar",12,0.0168119028272017
"captar",12,0.0168119028272017
"resonar",12,0.0168119028272017
"alumbrar",12,0.0168119028272017
"completar",12,0.0168119028272017
"inclinar",12,0.0168119028272017
"largar",12,0.0168119028272017
"escalar",12,0.0168119028272017
"imitar",12,0.0168119028272017
"negociar",12,0.0168119028272017
"rezar",11,0.0154109109249349
"exhalar",11,0.0154109109249349
"despedazar",11,0.0154109109249349
"expresar",11,0.0154109109249349
"morirse",11,0.0154109109249349
"padecer",11,0.0154109109249349
"desbaratar",11,0.0154109109249349
"perdonar",11,0.0154109109249349
"repartir",11,0.0154109109249349
"corregir",11,0.0154109109249349
"oponer",11,0.0154109109249349
"restablecer",11,0.0154109109249349
"reprochar",11,0.0154109109249349
"superar",11,0.0154109109249349
"complacer",11,0.0154109109249349
"causar",11,0.0154109109249349
"agotar",11,0.0154109109249349
"borrar",11,0.0154109109249349
"verlo",11,0.0154109109249349
"divertir",11,0.0154109109249349
"afeitar",11,0.0154109109249349
"dictar",11,0.0154109109249349
"festejar",11,0.0154109109249349
"acertar",11,0.0154109109249349
"precisar",11,0.0154109109249349
"espiar",11,0.0154109109249349
"portar",11,0.0154109109249349
"devorar",11,0.0154109109249349
"cebar",11,0.0154109109249349
"extraer",11,0.0154109109249349
"calmar",11,0.0154109109249349
"interrogar",11,0.0154109109249349
"ascender",11,0.0154109109249349
"perturbar",10,0.014009919022668
"exaltar",10,0.014009919022668
"chorrear",10,0.014009919022668
"acordarse",10,0.014009919022668
"hacerse",10,0.014009919022668
"acostarse",10,0.014009919022668
"velar",10,0.014009919022668
"arrojar",10,0.014009919022668
"lamentar",10,0.014009919022668
"alarmar",10,0.014009919022668
"verse",10,0.014009919022668
"extrañar",10,0.014009919022668
"impresionar",10,0.014009919022668
"prohibir",10,0.014009919022668
"acudir",10,0.014009919022668
"irrumpir",10,0.014009919022668
"cometer",10,0.014009919022668
"liquidar",10,0.014009919022668
"protestar",10,0.014009919022668
"calentar",10,0.014009919022668
"rodar",10,0.014009919022668
"preceder",10,0.014009919022668
"escampar",10,0.014009919022668
"emitir",10,0.014009919022668
"cenar",10,0.014009919022668
"reconstruir",10,0.014009919022668
"aspirar",10,0.014009919022668
"aconsejar",10,0.014009919022668
"plantear",10,0.014009919022668
"aflojar",10,0.014009919022668
"ensayar",10,0.014009919022668
"trepar",10,0.014009919022668
"abarcar",10,0.014009919022668
"filtrar",10,0.014009919022668
"consentir",10,0.014009919022668
"rondar",10,0.014009919022668
"apurar",10,0.014009919022668
"charlar",10,0.014009919022668
"después",10,0.014009919022668
"vomitar",10,0.014009919022668
"controlar",9,0.0126089271204012
"refugiarse",9,0.0126089271204012
"divulgar",9,0.0126089271204012
"contribuir",9,0.0126089271204012
"practicar",9,0.0126089271204012
"alternar",9,0.0126089271204012
"datar",9,0.0126089271204012
"errar",9,0.0126089271204012
"disipar",9,0.0126089271204012
"impregnar",9,0.0126089271204012
"orinar",9,0.0126089271204012
"escoger",9,0.0126089271204012
"reunirse",9,0.0126089271204012
"desatar",9,0.0126089271204012
"liberar",9,0.0126089271204012
"condenar",9,0.0126089271204012
"eliminar",9,0.0126089271204012
"animar",9,0.0126089271204012
"prevenir",9,0.0126089271204012
"exasperar",9,0.0126089271204012
"proyectar",9,0.0126089271204012
"modificar",9,0.0126089271204012
"guiar",9,0.0126089271204012
"analizar",9,0.0126089271204012
"persistir",9,0.0126089271204012
"nadar",9,0.0126089271204012
"robar",9,0.0126089271204012
"deslizar",9,0.0126089271204012
"soplar",9,0.0126089271204012
"publicar",9,0.0126089271204012
"acechar",9,0.0126089271204012
"chillar",9,0.0126089271204012
"palpar",9,0.0126089271204012
"desembocar",9,0.0126089271204012
"encaminar",9,0.0126089271204012
"arrimar",9,0.0126089271204012
"agitar",9,0.0126089271204012
"ajustar",9,0.0126089271204012
"collar",9,0.0126089271204012
"perecer",8,0.0112079352181344
"navegar",8,0.0112079352181344
"desistir",8,0.0112079352181344
"mentar",8,0.0112079352181344
"presenciar",8,0.0112079352181344
"parir",8,0.0112079352181344
"añorar",8,0.0112079352181344
"acampar",8,0.0112079352181344
"voltear",8,0.0112079352181344
"disfrutar",8,0.0112079352181344
"incorporar",8,0.0112079352181344
"agravar",8,0.0112079352181344
"elaborar",8,0.0112079352181344
"alquilar",8,0.0112079352181344
"revivir",8,0.0112079352181344
"bautizar",8,0.0112079352181344
"envenenar",8,0.0112079352181344
"acentuar",8,0.0112079352181344
"absorber",8,0.0112079352181344
"cagar",8,0.0112079352181344
"detestar",8,0.0112079352181344
"lastimar",8,0.0112079352181344
"designar",8,0.0112079352181344
"presentir",8,0.0112079352181344
"reanudar",8,0.0112079352181344
"localizar",8,0.0112079352181344
"convencerse",8,0.0112079352181344
"manifestar",8,0.0112079352181344
"derivar",8,0.0112079352181344
"destacar",8,0.0112079352181344
"estropear",8,0.0112079352181344
"podrir",8,0.0112079352181344
"acceder",8,0.0112079352181344
"satisfacer",8,0.0112079352181344
"empapar",8,0.0112079352181344
"atrapar",8,0.0112079352181344
"escandalizar",8,0.0112079352181344
"despejar",8,0.0112079352181344
